,clusters
1753,2
1754,4
1755,4
1756,0
1757,0
1758,4
1759,4
1760,0
1761,0
1762,0
1763,4
1764,0
1765,0
1766,0
1767,0
1768,4
1769,0
1770,0
1771,0
1772,4
1773,0
1774,0
1775,0
1776,4
1777,4
1778,1
1779,0
1780,0
1781,0
1782,2
1783,2
1784,0
1785,1
1786,4
1787,4
1788,4
1789,1
1790,1
1791,0
1792,0
1793,2
1794,4
1795,4
1796,4
1797,0
1798,1
1799,3
1800,1
1801,0
1802,0
1803,0
1804,0
1805,2
1806,4
1807,1
1808,0
1809,2
1810,4
1811,0
1812,0
1813,4
1814,0
1815,0
1816,0
1817,0
1818,4
1819,1
1820,2
1821,2
1822,3
1823,2
1824,0
1825,0
1826,1
1827,0
1828,0
1829,0
1830,4
1831,0
1832,0
1833,0
1834,4
1835,2
1836,0
1837,4
1838,0
1839,0
1840,4
1841,0
1842,4
1843,4
1844,4
1845,0
1846,2
1847,4
1848,0
1849,4
1850,0
1851,4
1852,4
1853,4
1854,0
1855,4
1856,2
1857,0
1858,0
1859,0
1860,0
1861,4
1862,1
1863,0
1864,4
1865,0
1866,0
1867,4
1868,0
1869,4
1870,2
1871,1
1872,0
1873,0
1874,0
1875,0
1876,0
1877,4
1878,0
1879,1
1880,0
1881,2
1882,0
1883,1
1884,4
1885,0
1886,0
1887,4
1888,2
1889,0
1890,0
1891,0
1892,0
1893,0
1894,4
1895,0
1896,1
1897,1
1898,4
1899,4
1900,0
1901,4
1902,0
1903,0
1904,4
1905,4
1906,0
1907,0
1908,0
1909,0
1910,4
1911,0
1912,0
1913,0
1914,4
1915,4
1916,0
1917,0
1918,4
1919,2
1920,0
1921,4
1922,0
1923,4
1924,0
1925,0
1926,2
1927,0
1928,0
1929,0
1930,2
1931,4
1932,0
1933,1
1934,0
1935,4
1936,4
1937,0
1938,0
1939,2
1940,0
1941,4
1942,3
1943,0
1944,4
1945,4
1946,0
1947,4
1948,0
1949,1
1950,1
1951,1
1952,2
1953,4
1954,4
1955,4
1956,0
1957,0
1958,3
1959,0
1960,0
1961,4
1962,0
1963,1
1964,2
1965,4
1966,4
1967,0
1968,4
1969,4
1970,4
1971,0
1972,0
1973,1
1974,2
1975,4
1976,0
1977,0
1978,4
1979,0
1980,4
1981,4
1982,2
1983,0
1984,4
1985,0
1986,0
1987,0
1988,2
1989,4
1990,0
1991,4
1992,0
1993,0
1994,0
1995,4
1996,4
1997,0
1998,0
1999,4
2000,0
2001,0
2002,4
2003,4
2004,4
2005,0
2006,0
2007,0
2008,4
2009,0
2010,0
2011,1
2012,4
2013,4
2014,0
2015,3
2016,4
2017,0
2018,2
2019,0
2020,0
2021,4
2022,1
2023,4
2024,0
2025,0
2026,2
2027,0
2028,4
2029,0
2030,0
2031,0
2032,4
2033,4
2034,4
2035,0
2036,4
2037,4
2038,4
2039,0
2040,4
2041,0
2042,3
2043,0
2044,0
2045,0
2046,0
2047,4
2048,0
2049,1
2050,0
2051,0
2052,0
2053,4
2054,0
2055,4
2056,4
2057,1
2058,4
2059,1
2060,0
2061,0
2062,0
2063,0
2064,4
2065,1
2066,4
2067,0
2068,4
2069,0
2070,4
2071,0
2072,1
2073,0
2074,4
2075,0
2076,4
2077,0
2078,0
2079,3
2080,4
2081,2
2082,0
2083,4
2084,0
2085,1
2086,0
2087,4
2088,0
2089,4
2090,0
2091,4
2092,0
2093,4
2094,4
2095,0
2096,0
2097,4
2098,0
2099,4
2100,1
2101,0
2102,0
2103,0
2104,0
2105,2
2106,4
2107,2
2108,4
2109,2
2110,1
2111,4
2112,4
2113,4
2114,1
2115,2
2116,0
2117,0
2118,0
2119,0
2120,4
2121,0
2122,4
2123,0
2124,2
2125,0
2126,0
2127,0
2128,4
2129,1
2130,3
2131,4
2132,0
2133,0
2134,4
2135,0
2136,2
2137,4
2138,0
2139,1
2140,0
2141,1
2142,2
2143,0
2144,0
2145,0
2146,0
2147,1
2148,0
2149,4
2150,4
2151,1
2152,1
2153,1
2154,4
2155,0
2156,2
2157,0
2158,4
2159,0
2160,2
2161,4
2162,4
2163,1
2164,0
2165,4
2166,0
2167,0
2168,2
2169,4
2170,4
2171,0
2172,0
2173,4
2174,4
2175,0
2176,2
2177,4
2178,1
2179,4
2180,0
2181,1
2182,4
2183,4
2184,4
2185,4
2186,0
2187,0
2188,0
2189,0
2190,4
2191,1
2192,0
2193,4
2194,4
2195,1
2196,2
2197,0
2198,1
2199,0
2200,0
2201,0
2202,0
2203,4
2204,4
2205,4
2206,0
2207,4
2208,2
2209,4
2210,0
2211,2
2212,0
2213,2
2214,0
2215,4
2216,0
2217,0
2218,4
2219,0
2220,4
2221,0
2222,2
2223,4
2224,0
2225,4
2226,4
2227,4
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,4
2238,4
2239,4
2240,0
2241,4
2242,2
2243,0
2244,4
2245,0
2246,0
2247,1
2248,0
2249,0
2250,0
2251,4
2252,0
2253,2
2254,2
2255,0
2256,0
2257,0
2258,0
2259,0
2260,2
2261,0
2262,0
2263,0
2264,4
2265,1
2266,4
2267,4
2268,4
2269,0
2270,0
2271,0
2272,4
2273,0
2274,4
2275,0
2276,2
2277,2
2278,1
2279,0
2280,0
2281,1
2282,0
2283,0
2284,4
2285,0
2286,0
2287,0
2288,0
2289,4
2290,4
2291,4
2292,0
2293,4
2294,4
2295,4
2296,4
2297,4
2298,1
2299,0
2300,0
2301,0
2302,4
2303,0
2304,0
2305,0
2306,0
2307,2
2308,2
2309,0
2310,4
2311,2
2312,0
2313,0
2314,0
2315,1
2316,0
2317,0
2318,0
2319,0
2320,0
2321,1
2322,0
2323,4
2324,0
2325,0
2326,0
2327,1
2328,0
2329,4
2330,0
2331,0
2332,2
2333,4
2334,4
2335,4
2336,4
2337,0
2338,0
2339,4
2340,0
2341,0
2342,2
2343,0
2344,4
2345,1
2346,0
2347,0
2348,1
2349,4
2350,0
2351,1
2352,4
2353,1
2354,0
2355,1
2356,1
2357,4
2358,4
2359,0
2360,0
2361,0
2362,4
2363,0
2364,0
2365,0
2366,0
2367,1
2368,4
2369,0
2370,4
2371,0
2372,0
2373,0
2374,0
2375,4
2376,0
2377,4
2378,2
2379,4
2380,4
2381,4
2382,0
2383,4
2384,0
2385,0
2386,2
2387,1
2388,0
2389,0
2390,0
2391,1
2392,4
2393,4
2394,4
2395,4
2396,0
2397,1
2398,0
2399,1
2400,0
2401,2
2402,0
2403,1
2404,0
2405,1
2406,2
2407,4
2408,0
2409,0
2410,0
2411,1
2412,4
2413,0
2414,4
2415,4
2416,0
2417,4
2418,4
2419,0
2420,4
2421,4
2422,0
2423,2
2424,1
2425,0
2426,0
2427,0
2428,0
2429,0
2430,0
2431,1
2432,4
2433,0
2434,1
2435,0
2436,4
2437,3
2438,2
2439,1
2440,4
2441,3
2442,2
2443,4
2444,0
2445,4
2446,1
2447,2
2448,3
2449,0
2450,0
2451,4
2452,4
2453,2
2454,4
2455,4
2456,4
2457,1
2458,2
2459,2
2460,2
2461,0
2462,1
2463,4
2464,0
2465,0
2466,0
2467,0
2468,4
2469,0
2470,4
2471,0
2472,0
2473,1
2474,0
2475,4
2476,0
2477,0
2478,0
2479,0
2480,4
2481,4
2482,0
2483,0
2484,3
2485,4
2486,4
2487,0
2488,2
2489,0
2490,0
2491,0
2492,4
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0
2501,2
2502,4
2503,0
2504,0
2505,0
2506,0
2507,0
2508,0
2509,0
2510,1
2511,0
2512,4
2513,4
2514,0
2515,0
2516,0
2517,4
2518,4
2519,0
2520,0
2521,4
2522,0
2523,4
2524,4
2525,4
2526,4
2527,0
2528,0
2529,4
2530,0
2531,0
2532,0
2533,0
2534,1
2535,0
2536,0
2537,0
2538,0
2539,0
2540,0
2541,0
2542,0
2543,2
2544,2
2545,4
2546,0
2547,4
2548,0
2549,4
2550,4
2551,4
2552,2
2553,0
2554,0
2555,0
2556,1
2557,0
2558,4
2559,2
2560,0
2561,0
2562,0
2563,4
2564,0
2565,1
2566,1
2567,4
2568,0
2569,0
2570,0
2571,4
2572,2
2573,0
2574,0
2575,4
2576,2
2577,0
2578,4
2579,1
2580,0
2581,1
2582,0
2583,0
2584,4
2585,4
2586,0
2587,0
2588,0
2589,0
2590,0
2591,4
2592,4
2593,4
2594,0
2595,0
2596,2
2597,0
2598,0
2599,0
2600,4
2601,0
2602,4
2603,0
2604,0
2605,1
2606,0
2607,1
2608,0
2609,0
2610,1
2611,1
2612,0
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,1
2620,0
2621,0
2622,4
2623,4
2624,4
2625,0
2626,0
2627,4
2628,4
2629,4
2630,1
2631,2
2632,4
2633,2
2634,3
2635,2
2636,0
2637,0
2638,0
2639,4
2640,0
2641,4
2642,0
2643,4
2644,0
2645,0
2646,1
2647,0
2648,0
2649,1
2650,1
2651,4
2652,4
2653,1
2654,4
2655,2
2656,0
2657,4
2658,0
2659,4
2660,0
2661,0
2662,0
2663,4
2664,2
2665,0
2666,4
2667,0
2668,0
2669,0
2670,2
2671,0
2672,4
2673,0
2674,0
2675,4
2676,0
2677,0
2678,0
2679,2
2680,4
2681,0
2682,0
2683,4
2684,1
2685,0
2686,4
2687,4
2688,4
2689,0
2690,4
2691,0
2692,0
2693,1
2694,0
2695,2
2696,4
2697,1
2698,0
2699,0
2700,4
2701,4
2702,0
2703,0
2704,4
2705,0
2706,0
2707,0
2708,4
2709,0
2710,0
2711,4
2712,0
2713,1
2714,2
2715,1
2716,0
2717,4
2718,0
2719,4
2720,0
2721,1
2722,0
2723,4
2724,2
2725,0
2726,0
2727,1
2728,2
2729,0
2730,0
2731,4
2732,0
2733,0
2734,4
2735,4
2736,3
2737,4
2738,0
2739,1
2740,2
2741,4
2742,1
2743,4
2744,0
2745,0
2746,1
2747,1
2748,0
2749,4
2750,0
2751,0
2752,2
2753,0
2754,4
2755,0
2756,0
2757,4
2758,0
2759,0
2760,0
2761,4
2762,4
2763,0
2764,0
2765,4
2766,3
2767,0
2768,4
2769,4
2770,4
2771,0
2772,4
2773,4
2774,4
2775,4
2776,0
2777,0
2778,0
2779,0
2780,0
2781,0
2782,0
2783,2
2784,4
2785,4
2786,1
2787,4
2788,0
2789,0
2790,4
2791,0
2792,0
2793,4
2794,1
2795,0
2796,0
2797,4
2798,0
2799,4
2800,0
2801,0
2802,4
2803,4
2804,4
2805,0
2806,0
2807,4
2808,0
2809,2
2810,0
2811,4
2812,4
2813,2
2814,0
2815,4
2816,4
2817,4
2818,4
2819,0
2820,0
2821,0
2822,2
2823,0
2824,4
2825,0
2826,0
2827,0
2828,0
2829,0
2830,4
2831,4
2832,0
2833,4
2834,0
2835,0
2836,0
2837,4
2838,0
2839,0
2840,0
2841,4
2842,0
2843,2
2844,0
2845,2
2846,0
2847,0
2848,2
2849,0
2850,4
2851,1
2852,0
2853,0
2854,0
2855,1
2856,0
2857,4
2858,0
2859,0
2860,0
2861,0
2862,4
2863,0
2864,4
2865,0
2866,2
2867,2
2868,4
2869,0
2870,0
2871,0
2872,0
2873,0
2874,4
2875,1
2876,0
2877,0
2878,4
2879,0
2880,0
2881,4
2882,0
2883,0
2884,0
2885,4
2886,0
2887,4
2888,0
2889,4
2890,2
2891,1
2892,1
2893,0
2894,1
2895,4
2896,0
2897,4
2898,0
2899,4
2900,4
2901,0
2902,0
2903,4
2904,1
2905,2
2906,0
2907,0
2908,2
2909,4
2910,0
2911,0
2912,4
2913,0
2914,4
2915,0
2916,0
2917,4
2918,0
2919,2
2920,4
2921,4
2922,0
2923,4
2924,1
2925,4
2926,2
2927,4
2928,4
2929,0
2930,0
2931,4
2932,3
2933,4
2934,2
2935,0
2936,0
2937,0
2938,2
2939,0
2940,1
2941,0
2942,0
2943,0
2944,0
2945,0
2946,4
2947,1
2948,0
2949,4
2950,4
2951,2
2952,1
2953,0
2954,4
2955,4
2956,0
2957,0
2958,0
2959,2
2960,0
2961,2
2962,4
2963,2
2964,4
2965,4
2966,2
2967,4
2968,0
2969,2
2970,0
2971,0
2972,3
2973,4
2974,4
2975,4
2976,4
2977,1
2978,4
2979,0
2980,0
2981,0
2982,0
2983,0
2984,0
2985,2
2986,4
2987,4
2988,0
2989,0
2990,4
2991,0
2992,1
2993,0
2994,0
2995,4
2996,4
2997,4
