Parm;PM10;NO2;NO;NOX;IQA
5/1/21 12.00;19.78;12.32;2.74;16.99;40
5/1/21 14.00;17.83;8.67;1.58;11.57;36
5/1/21 16.00;43.47;12.54;0.78;14.20;87
5/1/21 18.00;21.73;23.45;2.64;27.96;43
5/1/21 20.00;10.74;38.04;5.28;46.59;23
5/1/21 22.00;5.37;19.38;1.30;21.84;11
6/1/21 0.00;8.06;5.70;0.15;6.39;16
6/1/21 2.00;8.79;2.70;0.03;3.21;18
6/1/21 4.00;10.99;3.85;0.25;4.70;22
6/1/21 6.00;11.72;9.53;3.35;15.13;23
6/1/21 8.00;15.38;7.82;0.08;8.41;31
6/1/21 10.00;22.47;19.42;7.85;31.92;45
6/1/21 12.00;24.42;11.32;1.88;14.66;49
6/1/21 14.00;23.93;13.19;1.37;15.75;48
6/1/21 16.00;34.68;8.06;0.42;9.17;69
6/1/21 18.00;28.33;15.06;1.05;17.14;57
6/1/21 20.00;36.39;26.60;2.57;31.01;73
6/1/21 22.00;33.21;25.42;1.81;28.66;66
7/1/21 0.00;30.53;12.01;1.85;15.31;61
7/1/21 2.00;22.95;3.56;0.04;4.08;46
7/1/21 4.00;19.54;3.03;0.02;3.53;39
7/1/21 6.00;12.70;9.10;0.70;10.63;25
7/1/21 8.00;16.12;35.36;33.13;86.61;43
7/1/21 10.00;22.47;44.48;31.77;93.64;47
7/1/21 14.00;22.71;32.34;13.78;53.92;45
7/1/21 16.00;26.62;34.39;16.33;59.88;53
7/1/21 18.00;34.68;56.83;70.48;165.35;83
7/1/21 20.00;48.60;45.65;21.84;79.59;97
7/1/21 22.00;48.84;39.25;6.08;49.03;98
8/1/21 0.00;36.39;12.83;0.11;13.46;73
8/1/21 2.00;37.36;8.40;0.28;9.30;75
8/1/21 4.00;26.37;2.68;0.00;3.15;53
8/1/21 6.00;20.27;6.49;0.36;7.51;41
8/1/21 8.00;10.01;32.38;7.93;44.99;22
8/1/21 10.00;4.88;31.21;9.19;45.77;23
8/1/21 12.00;2.44;17.60;2.86;22.44;11
8/1/21 14.00;19.29;16.31;2.95;21.30;39
8/1/21 16.00;12.94;23.90;2.88;28.77;26
8/1/21 18.00;21.25;23.89;3.86;30.28;42
8/1/21 20.00;15.63;25.11;3.03;30.21;31
8/1/21 22.00;14.90;14.30;1.75;17.45;30
9/1/21 0.00;12.45;5.76;0.31;6.71;25
9/1/21 2.00;47.37;4.65;0.43;5.77;95
9/1/21 4.00;23.69;2.56;0.01;3.04;47
9/1/21 6.00;11.72;5.87;0.15;6.56;23
9/1/21 8.00;5.86;15.97;2.53;20.31;12
9/1/21 10.00;2.93;17.41;4.08;24.13;12
9/1/21 12.00;23.69;23.15;7.15;34.58;47
9/1/21 14.00;20.51;26.97;5.63;36.06;41
9/1/21 16.00;29.06;15.58;1.00;17.58;58
9/1/21 18.00;22.95;18.88;2.19;22.70;46
9/1/21 20.00;22.22;29.45;6.00;39.11;44
9/1/21 22.00;22.47;29.83;3.88;36.24;45
10/1/21 0.00;52.26;6.24;0.30;7.16;105
10/1/21 4.00;12.94;2.67;0.31;3.60;26
10/1/21 6.00;6.35;3.65;0.08;4.24;13
10/1/21 8.00;3.17;7.29;0.91;9.15;6
10/1/21 10.00;1.47;12.54;2.67;17.10;9
10/1/21 12.00;0.73;20.27;7.93;32.89;16
10/1/21 14.00;1.95;22.54;5.96;32.15;16
10/1/21 16.00;3.91;12.60;1.32;15.08;8
10/1/21 18.00;9.77;17.44;2.68;22.01;20
10/1/21 20.00;10.50;13.17;1.00;15.16;21
10/1/21 22.00;10.74;7.96;0.59;9.33;21
11/1/21 0.00;6.84;4.06;0.12;4.71;14
11/1/21 2.00;6.59;2.01;0.11;2.64;13
11/1/21 8.00;17.34;16.40;2.82;21.18;35
11/1/21 10.00;18.32;13.87;4.71;21.56;37
11/1/21 12.00;13.92;13.32;4.07;20.02;28
11/1/21 14.00;21.25;13.38;3.81;19.69;42
11/1/21 16.00;17.09;15.11;2.32;19.14;34
11/1/21 18.00;10.26;26.07;4.04;32.73;21
11/1/21 20.00;12.70;26.00;6.87;37.00;25
11/1/21 22.00;21.73;18.35;2.50;22.65;43
12/1/21 0.00;16.36;8.12;0.42;9.23;33
12/1/21 2.00;17.34;4.68;0.15;5.37;35
12/1/21 4.00;13.19;3.41;0.06;3.97;26
12/1/21 6.00;38.10;4.99;0.17;5.72;76
12/1/21 8.00;19.05;19.37;3.23;24.78;38
12/1/21 10.00;9.52;15.42;5.56;24.41;19
12/1/21 12.00;9.52;11.76;2.77;16.48;19
12/1/21 14.00;4.15;17.81;9.81;33.31;17
12/1/21 16.00;10.50;14.15;2.04;17.74;21
12/1/21 18.00;7.81;25.39;2.63;29.88;16
12/1/21 20.00;17.34;20.17;3.63;26.20;35
12/1/21 22.00;23.20;15.90;1.01;17.90;46
13/1/21 0.00;15.63;4.71;0.00;5.18;31
13/1/21 2.00;14.65;2.87;0.50;4.11;29
13/1/21 4.00;11.72;2.60;0.08;3.19;23
13/1/21 6.00;10.74;8.20;0.94;10.11;21
13/1/21 8.00;11.72;32.31;24.85;70.87;35
13/1/21 10.00;17.58;34.69;23.25;70.80;35
13/1/21 12.00;17.58;13.40;2.68;17.97;35
13/1/21 18.00;4.40;37.37;1.57;40.23;20
13/1/21 20.00;18.07;18.43;1.76;21.59;36
13/1/21 22.00;15.87;19.60;2.08;23.25;32
14/1/21 0.00;19.78;11.55;0.78;13.22;40
14/1/21 2.00;18.32;8.28;0.31;9.21;37
14/1/21 4.00;25.40;6.45;0.13;7.11;51
14/1/21 6.00;18.32;9.75;0.81;11.46;37
14/1/21 8.00;20.02;34.73;10.71;51.61;40
14/1/21 10.00;23.44;26.19;7.27;37.79;47
14/1/21 12.00;49.57;14.97;3.67;21.07;99
14/1/21 14.00;24.66;34.03;15.67;58.52;49
14/1/21 16.00;12.21;16.76;4.03;23.40;24
14/1/21 18.00;12.21;37.83;6.35;48.03;24
14/1/21 20.00;21.98;33.32;5.78;42.64;44
14/1/21 22.00;23.69;8.97;1.78;12.17;47
15/1/21 0.00;15.38;7.92;0.51;9.17;31
15/1/21 2.00;42.98;2.44;0.81;4.15;86
15/1/21 4.00;21.49;3.00;0.23;3.82;43
15/1/21 6.00;10.74;9.00;2.26;12.93;21
15/1/21 8.00;16.61;34.91;26.03;75.28;38
15/1/21 10.00;8.30;22.30;14.27;44.65;22
15/1/21 12.00;4.15;15.09;6.34;25.28;13
15/1/21 14.00;18.32;20.69;13.66;42.09;37
15/1/21 16.00;9.04;22.79;8.54;36.35;18
15/1/21 18.00;12.45;35.63;5.76;44.92;25
15/1/21 20.00;18.07;47.83;11.98;66.65;36
15/1/21 22.00;33.46;27.75;1.76;30.91;67
16/1/21 0.00;18.07;10.29;0.26;11.15;36
16/1/21 2.00;27.11;3.16;0.11;3.80;54
16/1/21 4.00;51.28;4.72;0.00;5.19;103
16/1/21 6.00;25.64;7.40;0.34;8.38;51
16/1/21 8.00;12.70;11.05;2.65;15.57;25
16/1/21 10.00;6.35;12.40;4.44;19.68;13
16/1/21 12.00;7.08;17.37;9.86;32.95;16
16/1/21 14.00;3.42;15.56;4.00;22.15;11
16/1/21 16.00;1.71;18.42;2.33;22.45;11
16/1/21 18.00;3.17;20.41;4.97;28.49;14
16/1/21 20.00;7.81;18.07;3.97;24.63;16
16/1/21 22.00;8.79;14.46;3.85;20.82;18
17/1/21 0.00;8.30;2.54;0.09;3.14;17
17/1/21 6.00;6.11;3.63;0.15;4.33;12
17/1/21 8.00;6.59;4.53;0.23;5.35;13
17/1/21 10.00;5.86;19.57;4.88;27.52;14
17/1/21 12.00;9.04;14.13;3.94;20.64;18
17/1/21 14.00;16.12;14.92;3.26;20.39;32
17/1/21 16.00;50.31;10.61;0.27;11.50;101
17/1/21 18.00;32.23;22.24;3.71;28.39;64
17/1/21 20.00;32.48;24.66;2.20;28.49;65
17/1/21 22.00;27.35;32.42;8.14;45.36;55
18/1/21 0.00;30.28;15.77;0.80;17.46;61
18/1/21 4.00;29.79;7.27;0.34;8.25;60
18/1/21 6.00;14.90;11.40;0.32;12.36;30
18/1/21 8.00;10.26;46.36;24.17;83.88;42
18/1/21 10.00;12.70;30.13;6.94;41.24;25
18/1/21 12.00;11.23;18.60;2.65;23.12;22
18/1/21 14.00;7.33;23.67;9.68;38.98;19
18/1/21 16.00;8.55;14.38;2.40;18.52;17
18/1/21 18.00;6.84;30.21;8.24;43.29;22
18/1/21 20.00;9.77;33.68;5.83;43.08;22
18/1/21 22.00;13.43;29.66;4.87;37.58;27
19/1/21 0.00;14.65;14.02;0.67;15.51;29
19/1/21 4.00;17.83;3.04;0.06;3.60;36
19/1/21 6.00;9.77;9.30;0.47;10.48;20
19/1/21 8.00;10.01;43.90;14.32;66.31;33
19/1/21 10.00;43.47;25.09;6.97;36.25;87
19/1/21 12.00;21.73;24.64;9.23;39.25;43
19/1/21 14.00;23.93;29.74;17.25;56.65;48
19/1/21 16.00;11.97;26.54;9.22;41.13;24
19/1/21 18.00;6.84;49.20;54.22;132.79;66
19/1/21 20.00;31.01;47.54;15.80;72.22;62
19/1/21 22.00;49.57;29.46;2.91;34.37;99
20/1/21 0.00;50.06;11.81;0.32;12.76;100
20/1/21 6.00;13.92;11.27;0.19;12.03;28
20/1/21 8.00;10.74;23.56;3.09;28.76;21
20/1/21 10.00;8.30;19.17;3.81;25.47;17
20/1/21 12.00;11.23;12.90;2.40;17.05;22
20/1/21 14.00;6.84;14.98;3.29;20.49;14
20/1/21 16.00;6.35;13.43;1.41;16.05;13
20/1/21 18.00;10.01;22.92;2.04;26.50;20
20/1/21 20.00;21.49;25.58;2.20;29.43;43
20/1/21 22.00;23.44;21.09;1.08;23.21;47
21/1/21 0.00;24.91;6.92;0.02;7.42;50
21/1/21 8.00;19.29;16.15;2.10;19.83;39
21/1/21 10.00;9.52;18.21;3.28;23.71;19
21/1/21 12.00;4.64;9.23;1.24;11.59;9
21/1/21 14.00;24.91;12.54;2.75;17.21;50
21/1/21 16.00;12.45;13.63;1.45;16.31;25
21/1/21 18.00;7.57;29.22;3.95;35.74;18
21/1/21 20.00;23.93;24.36;2.32;28.38;48
21/1/21 22.00;31.99;18.78;0.66;20.25;64
22/1/21 0.00;25.64;14.08;0.34;15.07;51
22/1/21 2.00;26.13;4.92;0.17;5.65;52
22/1/21 8.00;17.34;18.82;2.21;22.68;35
22/1/21 10.00;16.12;19.31;4.10;26.06;32
22/1/21 12.00;13.92;9.06;1.85;12.35;28
22/1/21 14.00;42.25;9.17;1.79;12.38;84
22/1/21 16.00;21.00;9.82;1.01;11.82;42
22/1/21 18.00;22.95;23.02;2.43;27.22;46
22/1/21 20.00;24.18;22.88;2.06;26.50;48
22/1/21 22.00;33.46;11.63;1.80;14.86;67
23/1/21 0.00;29.55;4.15;0.87;5.92;59
23/1/21 6.00;19.29;2.86;0.16;3.57;39
23/1/21 8.00;24.42;9.32;1.05;11.40;49
23/1/21 10.00;18.07;15.51;2.22;19.38;36
23/1/21 12.00;19.54;27.02;10.07;42.93;39
23/1/21 14.00;35.65;10.39;0.61;11.79;71
23/1/21 16.00;52.75;9.42;1.03;11.47;105
23/1/21 18.00;30.28;6.15;1.05;8.23;61
23/1/21 20.00;52.01;10.18;1.06;12.28;104
23/1/21 22.00;25.89;7.03;0.18;7.76;52
24/1/21 6.00;13.68;4.84;0.35;5.84;27
24/1/21 10.00;3.42;10.53;0.81;12.24;7
24/1/21 12.00;1.71;8.58;1.28;11.01;6
24/1/21 14.00;0.73;6.03;0.77;7.68;4
24/1/21 18.00;0.73;6.19;0.15;6.88;3
24/1/21 20.00;2.93;8.31;0.43;9.44;6
24/1/21 22.00;3.17;6.06;0.31;7.00;6
25/1/21 0.00;9.04;4.16;0.18;4.89;18
25/1/21 4.00;16.36;2.50;0.04;3.03;33
25/1/21 6.00;8.06;4.66;0.25;5.51;16
25/1/21 8.00;37.85;32.10;6.54;42.60;76
25/1/21 10.00;18.80;26.18;8.58;39.80;38
25/1/21 12.00;9.28;13.79;2.14;17.53;19
25/1/21 14.00;4.64;10.37;2.57;14.78;9
25/1/21 16.00;2.20;5.97;0.33;6.94;4
25/1/21 18.00;38.83;16.61;1.40;19.22;78
25/1/21 20.00;19.29;17.98;1.99;21.49;39
25/1/21 22.00;9.52;18.48;0.93;20.36;19
26/1/21 2.00;15.38;4.67;0.46;5.85;31
26/1/21 4.00;11.97;4.62;0.19;5.39;24
26/1/21 6.00;7.08;6.28;0.12;6.92;14
26/1/21 8.00;44.20;17.14;1.57;20.01;88
26/1/21 10.00;21.98;14.90;1.93;18.32;44
26/1/21 12.00;10.99;10.28;1.15;12.51;22
26/1/21 14.00;5.37;18.56;8.95;32.75;16
26/1/21 16.00;2.69;9.85;2.87;14.71;7
26/1/21 18.00;13.68;13.35;2.13;17.08;27
26/1/21 20.00;9.04;10.75;2.20;14.59;18
26/1/21 22.00;6.35;5.32;0.23;6.13;13
27/1/21 2.00;11.97;0.93;0.36;1.83;24
27/1/21 8.00;8.06;14.95;0.50;16.19;16
27/1/21 10.00;5.13;12.62;1.72;15.72;10
27/1/21 12.00;9.77;6.10;0.74;7.69;20
27/1/21 14.00;40.78;9.05;1.82;12.30;82
27/1/21 16.00;20.27;13.24;1.33;15.75;41
27/1/21 18.00;50.31;24.54;0.61;25.94;101
27/1/21 20.00;25.15;23.66;2.78;28.38;50
27/1/21 22.00;12.45;15.27;0.21;16.05;25
28/1/21 0.00;6.11;4.31;0.02;4.81;12
28/1/21 2.00;2.93;3.49;0.02;3.99;6
28/1/21 6.00;12.45;9.57;0.15;10.27;25
28/1/21 8.00;6.11;30.15;9.73;45.53;23
28/1/21 10.00;2.93;31.54;10.63;48.31;24
28/1/21 12.00;8.06;10.64;1.09;12.77;16
28/1/21 14.00;9.52;34.84;15.46;59.00;29
28/1/21 16.00;36.39;27.65;6.13;37.51;73
28/1/21 18.00;24.18;50.18;12.66;70.05;48
28/1/21 20.00;23.93;26.79;2.82;31.57;48
28/1/21 22.00;30.04;13.75;0.61;15.15;60
29/1/21 2.00;13.92;4.45;0.40;5.54;28
29/1/21 4.00;12.94;3.49;0.19;4.26;26
29/1/21 6.00;9.52;10.08;0.01;10.56;19
29/1/21 8.00;9.77;41.87;11.79;60.40;30
29/1/21 10.00;16.85;45.01;41.13;108.53;54
29/1/21 12.00;21.98;25.84;10.82;42.89;44
29/1/21 14.00;22.95;18.97;7.07;30.28;46
29/1/21 16.00;13.43;18.42;1.80;21.64;27
29/1/21 18.00;16.12;31.53;5.19;39.95;32
29/1/21 20.00;18.56;16.03;2.47;20.28;37
29/1/21 22.00;18.56;3.69;0.26;4.56;37
30/1/21 0.00;43.22;2.11;0.17;2.83;86
30/1/21 2.00;21.49;2.94;0.12;3.59;43
30/1/21 4.00;10.74;4.60;0.87;6.40;21
30/1/21 6.00;5.37;11.70;0.66;13.18;11
30/1/21 8.00;2.69;26.35;6.31;36.48;18
30/1/21 10.00;9.52;18.79;4.49;26.13;19
30/1/21 12.00;42.25;23.85;8.01;36.60;84
30/1/21 14.00;21.00;23.70;7.69;35.94;42
30/1/21 16.00;25.89;18.07;3.63;24.09;52
30/1/21 18.00;23.20;32.91;3.66;38.98;46
30/1/21 20.00;32.72;27.59;3.59;33.56;65
30/1/21 22.00;33.21;25.67;1.76;28.84;66
31/1/21 0.00;38.10;3.51;0.00;3.98;76
31/1/21 2.00;20.51;1.05;0.00;1.52;41
31/1/21 4.00;16.85;0.12;0.00;0.41;34
31/1/21 6.00;13.43;3.09;0.08;3.67;27
31/1/21 8.00;10.74;6.46;0.24;7.30;21
31/1/21 10.00;47.62;5.79;0.57;7.12;95
31/1/21 12.00;61.29;16.13;2.39;20.25;123
31/1/21 14.00;30.53;21.51;4.11;28.28;61
31/1/21 16.00;16.85;10.21;0.76;11.83;34
31/1/21 18.00;22.71;11.29;1.17;13.55;45
31/1/21 20.00;46.40;11.74;1.06;13.84;93
31/1/21 22.00;23.20;13.32;0.74;14.91;46
1/2/21 0.00;11.48;4.13;0.22;4.94;23
1/2/21 2.00;15.87;1.11;0.00;1.57;32
1/2/21 4.00;7.81;3.40;1.07;5.51;16
1/2/21 6.00;3.91;12.74;0.60;14.12;8
1/2/21 8.00;1.95;34.58;24.01;71.85;36
1/2/21 10.00;0.98;25.33;10.82;42.38;21
1/2/21 12.00;19.29;25.91;12.68;45.81;39
1/2/21 14.00;9.52;33.10;23.27;69.24;35
1/2/21 16.00;4.64;23.32;10.75;40.26;20
1/2/21 18.00;15.63;28.73;10.11;44.69;31
1/2/21 20.00;18.32;43.07;20.44;74.87;37
1/2/21 22.00;45.91;21.15;2.73;25.81;92
2/2/21 0.00;40.29;8.02;0.45;9.17;81
2/2/21 2.00;23.44;3.81;0.27;4.69;47
2/2/21 4.00;15.87;3.90;1.48;6.64;32
2/2/21 6.00;13.92;14.73;6.88;25.73;28
2/2/21 8.00;10.01;40.20;17.29;67.17;34
2/2/21 10.00;9.77;36.41;17.16;63.17;32
2/2/21 12.00;12.94;13.86;3.45;19.62;26
2/2/21 14.00;16.12;20.95;10.23;37.10;32
2/2/21 16.00;20.27;19.05;6.32;29.20;41
2/2/21 18.00;20.02;33.87;3.78;40.12;40
2/2/21 20.00;30.04;45.57;9.82;61.09;60
2/2/21 22.00;38.10;30.06;3.60;36.05;76
3/2/21 0.00;39.80;8.75;0.39;9.82;80
3/2/21 2.00;31.50;2.37;0.05;2.92;63
3/2/21 4.00;21.73;2.50;0.08;3.08;43
3/2/21 6.00;13.19;7.86;0.30;8.79;26
3/2/21 8.00;7.08;28.75;10.93;45.97;23
3/2/21 10.00;13.68;25.14;9.56;40.26;27
3/2/21 12.00;21.25;10.97;2.73;15.62;42
3/2/21 14.00;10.50;11.61;3.16;16.92;21
3/2/21 16.00;15.14;12.25;2.33;16.29;30
3/2/21 18.00;10.74;18.82;1.57;21.69;21
3/2/21 20.00;19.78;15.42;1.58;18.30;40
3/2/21 22.00;28.33;14.11;0.27;14.98;57
4/2/21 0.00;35.90;9.08;0.32;10.04;72
4/2/21 2.00;37.85;2.23;0.05;2.77;76
4/2/21 4.00;32.48;2.12;0.35;3.12;65
4/2/21 6.00;20.76;8.77;1.29;11.21;42
4/2/21 8.00;23.20;28.25;11.13;45.78;46
4/2/21 10.00;29.55;29.97;13.52;51.17;59
4/2/21 12.00;17.34;22.82;11.16;40.39;35
4/2/21 14.00;47.62;27.50;15.95;52.42;95
4/2/21 16.00;23.69;18.49;6.42;28.81;47
4/2/21 18.00;15.14;42.78;13.05;63.25;32
4/2/21 20.00;24.18;54.63;48.49;129.43;65
4/2/21 22.00;52.01;19.92;2.07;23.56;104
5/2/21 0.00;47.62;8.65;0.04;9.18;95
5/2/21 2.00;46.15;2.79;0.00;3.26;92
5/2/21 4.00;33.21;4.22;2.05;7.83;66
5/2/21 6.00;26.86;11.57;3.78;17.83;54
5/2/21 8.00;29.79;30.33;17.38;57.44;60
5/2/21 10.00;26.37;15.58;4.10;22.33;53
5/2/21 12.00;51.77;8.97;2.13;12.71;104
5/2/21 14.00;25.89;14.16;4.19;21.04;52
5/2/21 16.00;12.94;9.43;1.64;12.41;26
5/2/21 18.00;8.06;14.67;1.90;18.05;16
5/2/21 20.00;22.71;15.55;1.67;18.57;45
5/2/21 22.00;33.94;16.49;1.52;19.28;68
6/2/21 0.00;29.79;6.45;0.08;7.04;60
6/2/21 2.00;22.22;3.31;0.35;4.31;44
6/2/21 4.00;32.48;0.72;0.02;1.18;65
6/2/21 6.00;27.35;2.17;0.09;2.77;55
6/2/21 8.00;19.78;8.32;0.94;10.23;40
6/2/21 10.00;20.27;15.63;4.50;23.00;41
6/2/21 12.00;13.92;10.70;2.65;15.22;28
6/2/21 14.00;39.07;14.83;3.48;20.63;78
6/2/21 16.00;19.54;6.57;0.67;8.07;39
6/2/21 18.00;15.14;16.81;1.27;19.22;30
6/2/21 20.00;32.97;7.09;0.64;8.53;66
6/2/21 22.00;37.12;4.88;0.26;5.74;74
7/2/21 2.00;28.57;0.50;0.05;0.93;57
7/2/21 6.00;31.99;0.67;0.06;1.22;64
7/2/21 10.00;18.80;4.52;0.21;5.30;38
7/2/21 12.00;22.71;6.99;1.22;9.32;45
7/2/21 14.00;17.83;6.33;0.83;8.07;36
7/2/21 18.00;42.25;6.04;0.35;7.03;84
7/2/21 20.00;46.40;12.22;1.24;14.59;93
7/2/21 22.00;53.97;14.88;0.82;16.61;108
8/2/21 0.00;34.19;9.06;0.40;10.13;68
8/2/21 4.00;36.87;2.32;0.27;3.20;74
8/2/21 8.00;51.28;17.26;2.42;21.44;103
8/2/21 10.00;25.64;22.98;3.92;29.45;51
8/2/21 12.00;12.70;6.34;1.09;8.48;25
8/2/21 14.00;6.35;7.42;2.25;11.33;13
8/2/21 16.00;3.17;4.51;0.55;5.82;6
8/2/21 18.00;3.66;7.97;0.49;9.18;7
8/2/21 20.00;11.48;10.29;1.04;12.34;23
8/2/21 22.00;7.81;19.38;0.93;21.27;16
9/2/21 0.00;14.65;3.12;0.01;3.60;29
9/2/21 4.00;48.35;0.91;0.09;1.52;97
9/2/21 6.00;24.18;2.62;0.09;3.23;48
9/2/21 8.00;11.97;9.83;0.98;11.81;24
9/2/21 10.00;22.47;11.99;1.51;14.77;45
9/2/21 12.00;11.23;8.94;1.53;11.75;22
9/2/21 14.00;9.04;13.08;2.50;17.38;18
9/2/21 16.00;4.40;5.60;0.54;6.88;9
9/2/21 18.00;5.13;6.19;0.60;7.57;10
9/2/21 20.00;3.17;13.10;1.35;15.63;8
9/2/21 22.00;7.81;10.73;0.37;11.76;16
10/2/21 6.00;12.94;1.95;0.04;2.48;26
10/2/21 8.00;11.48;8.67;1.01;10.67;23
10/2/21 10.00;8.55;8.83;1.09;10.96;17
10/2/21 12.00;13.19;7.38;1.35;9.92;26
10/2/21 14.00;45.67;10.64;2.51;14.95;91
10/2/21 16.00;22.71;12.17;2.85;17.01;45
10/2/21 18.00;15.87;9.44;0.67;10.93;32
10/2/21 20.00;9.28;9.57;0.63;11.00;19
10/2/21 22.00;14.65;5.02;0.37;6.05;29
11/2/21 0.00;9.52;1.46;0.09;2.06;19
11/2/21 2.00;5.86;1.88;0.35;2.89;12
11/2/21 4.00;37.12;0.32;0.02;0.81;74
11/2/21 6.00;18.56;3.91;0.06;4.46;37
11/2/21 8.00;9.28;15.61;0.73;17.19;19
11/2/21 10.00;37.36;12.70;0.97;14.66;75
11/2/21 12.00;18.56;14.62;2.47;18.87;37
11/2/21 14.00;9.28;15.38;4.67;22.99;19
11/2/21 16.00;12.70;13.86;3.73;20.04;25
11/2/21 18.00;14.90;38.92;7.17;50.38;30
11/2/21 20.00;17.83;52.92;8.71;66.73;36
11/2/21 22.00;31.01;17.28;1.67;20.30;62
12/2/21 0.00;38.58;11.03;0.60;12.41;77
12/2/21 2.00;21.98;9.03;2.26;12.97;44
12/2/21 4.00;17.34;2.07;0.25;2.93;35
12/2/21 6.00;34.92;7.92;1.62;10.87;70
12/2/21 8.00;17.34;27.68;12.08;46.66;35
12/2/21 10.00;17.58;19.58;7.59;31.68;35
12/2/21 12.00;8.79;10.30;3.53;16.17;18
12/2/21 14.00;4.40;22.10;13.66;43.50;22
12/2/21 16.00;2.20;15.90;5.78;25.22;13
12/2/21 18.00;5.86;24.45;7.35;36.18;18
12/2/21 20.00;38.34;27.47;7.01;38.68;77
12/2/21 22.00;19.05;17.71;2.34;21.76;38
13/2/21 0.00;9.52;6.05;0.41;7.15;19
13/2/21 2.00;4.64;2.65;0.86;4.43;9
13/2/21 4.00;32.48;4.94;0.23;5.76;65
13/2/21 6.00;16.12;5.49;0.08;6.08;32
13/2/21 8.00;8.06;9.96;0.18;10.69;16
13/2/21 10.00;16.85;20.16;1.68;23.20;34
13/2/21 12.00;8.30;25.62;2.40;29.75;17
13/2/21 14.00;15.63;28.63;7.97;41.31;31
13/2/21 16.00;7.57;7.99;2.17;11.78;15
13/2/21 18.00;46.15;15.35;2.36;19.40;92
13/2/21 22.00;5.86;12.62;1.83;15.89;12
14/2/21 0.00;2.93;3.05;0.83;4.79;6
14/2/21 6.00;0.24;0.65;0.00;1.08;1
14/2/21 14.00;7.81;8.36;1.32;10.86;16
14/2/21 16.00;43.71;4.44;0.49;5.66;87
14/2/21 18.00;29.30;8.05;0.54;9.33;59
14/2/21 20.00;19.05;8.26;1.12;10.44;38
14/2/21 22.00;15.87;4.04;0.32;4.96;32
15/2/21 2.00;16.85;0.01;0.10;0.23;34
15/2/21 4.00;21.25;0.05;0.09;0.36;42
15/2/21 6.00;19.54;1.12;0.07;1.53;39
15/2/21 8.00;46.89;14.75;4.38;21.93;94
15/2/21 10.00;23.44;12.02;3.48;17.83;47
15/2/21 12.00;11.72;14.53;3.30;20.05;23
15/2/21 14.00;5.86;16.66;5.57;25.66;13
15/2/21 16.00;21.73;13.35;3.21;18.73;43
15/2/21 18.00;16.12;20.24;3.37;25.87;32
